Order Item ID,Order ID,Product ID,Sales,Quantity,Discount,Profit,Profit Margin,Cost of Goods Sold,Cost of Sales,Other Expenses
CA-2020-152156_1,CA-2020-152156,FUR-BO-10001798,261.96,2,0.0,41.9136,0.16000000000000003,146.69759999999997,36.67439999999999,36.67439999999999
CA-2020-152156_2,CA-2020-152156,FUR-CH-10000454,731.9399999999999,3,0.0,219.58199999999997,0.3,341.57199999999995,85.39299999999999,85.39299999999999
CA-2020-138688_3,CA-2020-138688,OFF-LA-10000240,14.62,2,0.0,6.8713999999999995,0.47,5.165733333333333,1.2914333333333332,1.2914333333333332
US-2019-108966_4,US-2019-108966,FUR-TA-10000577,957.5775,5,0.45,-383.03100000000006,-0.4000000000000001,1181.01225,295.2530625,295.2530625
US-2019-108966_5,US-2019-108966,OFF-ST-10000760,22.368000000000002,2,0.2,2.516399999999999,0.11249999999999995,16.216800000000003,4.054200000000001,4.054200000000001
CA-2018-115812_6,CA-2018-115812,FUR-FU-10001487,48.86,7,0.0,14.169399999999996,0.2899999999999999,23.127066666666668,5.781766666666667,5.781766666666667
CA-2018-115812_7,CA-2018-115812,OFF-AR-10002833,7.28,4,0.0,1.9656000000000002,0.27,3.542933333333333,0.8857333333333333,0.8857333333333333
CA-2018-115812_8,CA-2018-115812,TEC-PH-10002275,907.152,6,0.2,90.71520000000004,0.10000000000000003,665.2448,166.3112,166.3112
CA-2018-115812_9,CA-2018-115812,OFF-BI-10003910,18.504,3,0.2,5.7825,0.31249999999999994,10.948200000000002,2.7370500000000004,2.7370500000000004
CA-2018-115812_10,CA-2018-115812,OFF-AP-10002892,114.9,5,0.0,34.46999999999999,0.29999999999999993,53.62000000000001,13.405000000000003,13.405000000000003
CA-2018-115812_11,CA-2018-115812,FUR-TA-10001539,1706.1840000000002,9,0.2,85.3091999999998,0.04999999999999988,1308.0744000000002,327.01860000000005,327.01860000000005
CA-2018-115812_12,CA-2018-115812,TEC-PH-10002033,911.424,4,0.2,68.35680000000002,0.07500000000000002,683.568,170.892,170.892
CA-2021-114412_13,CA-2021-114412,OFF-PA-10002365,15.552000000000003,3,0.2,5.4432,0.3499999999999999,8.812800000000003,2.2032000000000007,2.2032000000000007
CA-2020-161389_14,CA-2020-161389,OFF-BI-10003656,407.97600000000006,3,0.2,132.59219999999993,0.3249999999999998,237.9860000000001,59.496500000000026,59.496500000000026
US-2019-118983_15,US-2019-118983,OFF-AP-10002311,68.80999999999999,5,0.8,-123.858,-1.8000000000000003,165.144,41.286,41.286
